2012-04-01T16:25:37.015941+00:00,sim64a[15579]:,disconnect,3,71.191.232.112,Client#3
2012-04-01T16:30:59.450183+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T16:31:24.885773+00:00,sim64a[15579]:,connect,4,91.49.99.13,Client#4
2012-04-01T16:31:34.585795+00:00,sim64a[15579]:,connect,6,193.61.17.82,Client#2
2012-04-01T16:32:04.552034+00:00,sim64a[15579]:,disconnect,6,193.61.17.82,Client#2
2012-04-01T16:33:05.620313+00:00,sim64a[15579]:,connect,6,193.61.17.82,Client#2
2012-04-01T16:33:39.789897+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T16:33:54.774935+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T16:33:56.464198+00:00,sim64a[15579]:,disconnect,4,91.49.99.13,Client#4
2012-04-01T16:34:38.303461+00:00,sim64a[15579]:,chat,3,71.200.68.118,Client#3,15,,"Plus, you are surrounding cities with rail lines, preventing other players from getting to cities, and preventing city growth... this is cheating"
2012-04-01T16:34:53.606655+00:00,sim64a[15579]:,chat,6,193.61.17.82,Client#2,1,public service,greetings players
2012-04-01T16:34:56.672169+00:00,sim64a[15579]:,chat,6,193.61.17.82,Client#2,1,public service,admin here
2012-04-01T16:35:20.172118+00:00,sim64a[15579]:,chat,6,193.61.17.82,Client#2,1,public service,I am creating some public interchange stations on Fedex's network
2012-04-01T16:35:30.967661+00:00,sim64a[15579]:,chat,6,193.61.17.82,Client#2,1,public service,to break up the monopoly :) play nice people!
2012-04-01T16:35:57.667961+00:00,sim64a[15579]:,chat,3,71.200.68.118,Client#3,15,,Can you also remove rail lines surrounding the cities?
2012-04-01T16:36:42.192562+00:00,sim64a[15579]:,chat,6,193.61.17.82,Client#2,1,public service,"nothing to stop them doing that again, you might have to just build bridges over them I'm afriad"
2012-04-01T16:38:25.423528+00:00,sim64a[15579]:,disconnect,6,193.61.17.82,Client#2
2012-04-01T16:39:33.942857+00:00,sim64a[15579]:,connect,4,189.74.209.151,Client#4
2012-04-01T16:39:48.868909+00:00,sim64a[15579]:,disconnect,4,189.74.209.151,Client#4
2012-04-01T16:43:10.097009+00:00,sim64a[15579]:,connect,4,189.74.209.151,Client#4
2012-04-01T16:43:21.043001+00:00,sim64a[15579]:,connect,6,209.183.129.152,Client#6
2012-04-01T16:45:05.893790+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T16:45:21.411037+00:00,sim64a[15579]:,disconnect,6,209.183.129.152,Client#6
2012-04-01T16:45:59.491905+00:00,sim64a[15579]:,disconnect,4,189.74.209.151,Client#4
2012-04-01T16:46:12.750638+00:00,sim64a[15579]:,connect,3,209.183.129.152,Client#6
2012-04-01T16:47:09.773845+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,--'
2012-04-01T16:47:34.561704+00:00,sim64a[15579]:,disconnect,3,209.183.129.152,Client#6
2012-04-01T16:47:51.041494+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,public stations = problems
2012-04-01T16:48:08.095366+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T16:49:39.424549+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T16:50:51.844000+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T16:52:09.888358+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,stop creating lot of public stations..
2012-04-01T16:52:38.211789+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,im working hard on my lines and will not modify..
2012-04-01T16:53:38.936483+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T16:53:50.644285+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T16:55:25.935349+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:01:43.591761+00:00,sim64a[15579]:,connect,3,190.73.89.1,bbbb
2012-04-01T17:08:48.040225+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,bbbb
2012-04-01T17:11:05.666712+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T17:11:36.032488+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:11:51.469468+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T17:13:39.959517+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:13:40.917852+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:13:52.917815+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T17:14:00.716348+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T17:15:42.967366+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:15:49.999110+00:00,sim64a[15579]:,connect,3,193.61.17.82,Client#2
2012-04-01T17:16:55.812734+00:00,sim64a[15579]:,disconnect,3,193.61.17.82,Client#2
2012-04-01T17:17:45.926144+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T17:21:36.143109+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:22:32.902046+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T17:24:04.991937+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:24:17.355098+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T17:24:35.762409+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T17:29:53.842184+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:30:07.843759+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T17:33:57.575030+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:34:08.858142+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T17:34:24.880519+00:00,sim64a[15579]:,connect,3,71.191.237.16,Fifty
2012-04-01T17:34:51.796930+00:00,sim64a[15579]:,connect,4,71.200.68.118,Client#3
2012-04-01T17:37:43.007094+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Client#3
2012-04-01T17:37:55.576988+00:00,sim64a[15579]:,connect,4,71.200.68.118,Client#3
2012-04-01T17:39:28.986189+00:00,sim64a[15579]:,disconnect,3,71.191.237.16,Fifty
2012-04-01T17:41:43.709740+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Client#3
2012-04-01T17:44:27.259844+00:00,sim64a[15579]:,connect,3,94.112.63.226,Client#3
2012-04-01T17:47:18.876620+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,"well, the competition begins :d"
2012-04-01T17:51:30.072157+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:51:41.652099+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T17:53:56.062231+00:00,sim64a[15579]:,disconnect,3,94.112.63.226,Client#3
2012-04-01T17:54:51.114783+00:00,sim64a[15579]:,connect,3,94.112.63.226,Client#3
2012-04-01T17:55:17.843415+00:00,sim64a[15579]:,disconnect,3,94.112.63.226,Client#3
2012-04-01T17:56:05.201865+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T17:56:15.476023+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T18:03:20.611947+00:00,sim64a[15579]:,disconnect,5,80.132.158.159,Client#5
2012-04-01T18:05:04.884059+00:00,sim64a[15579]:,connect,3,71.200.68.118,Client#3
2012-04-01T18:07:39.935719+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Client#3
2012-04-01T18:28:23.603016+00:00,sim64a[15579]:,connect,3,80.132.158.159,Client#5
2012-04-01T18:31:23.174049+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T18:31:33.875260+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T18:32:08.486636+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T18:32:19.905852+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T18:45:23.152923+00:00,sim64a[15579]:,connect,4,71.200.68.118,Client#3
2012-04-01T18:47:01.526283+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Client#3
2012-04-01T18:51:23.924538+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T18:51:33.893744+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T19:07:42.901949+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T19:07:53.582677+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T19:11:35.395059+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T19:53:48.783811+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T19:56:24.874258+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T19:56:35.494369+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T20:02:10.546612+00:00,sim64a[15579]:,disconnect,3,80.132.158.159,Client#5
2012-04-01T20:03:27.872167+00:00,sim64a[15579]:,connect,3,72.189.80.141,XxTony0413xX
2012-04-01T20:03:41.261717+00:00,sim64a[15579]:,connect,4,77.242.81.206,Client#4
2012-04-01T20:04:06.714158+00:00,sim64a[15579]:,disconnect,3,72.189.80.141,XxTony0413xX
2012-04-01T20:12:01.591878+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T20:12:13.081179+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T20:12:17.166117+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T20:39:53.745167+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
