2012-05-26T16:14:44.950363+00:00,sim128[24094]:,connect,5,87.151.234.171,Client#5
2012-05-26T16:16:09.119847+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T16:28:37.508500+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T16:31:10.597454+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T16:38:54.814932+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T16:41:12.945411+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T16:41:26.761131+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T16:44:11.734142+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T16:45:03.479050+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T16:45:22.084416+00:00,sim128[24094]:,chat,4,220.245.52.25,Client#4,10,Alliance,. - are trolley buses any good?
2012-05-26T16:50:28.970383+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T16:59:07.072066+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T16:59:46.360639+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T17:00:13.743075+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T17:01:16.552519+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T18:13:57.062456+00:00,sim128[24094]:,disconnect,5,87.151.234.171,Client#5
2012-05-26T18:14:05.243958+00:00,sim128[24094]:,connect,4,189.25.239.75,Well
2012-05-26T18:23:14.498639+00:00,sim128[24094]:,connect,5,176.58.187.187,ttt
2012-05-26T18:32:04.708776+00:00,sim128[24094]:,disconnect,5,176.58.187.187,ttt
2012-05-26T19:14:14.395622+00:00,sim128[24094]:,connect,5,187.156.87.99,JAOO450
2012-05-26T19:46:10.537492+00:00,sim128[24094]:,disconnect,4,189.25.239.75,Well
2012-05-26T19:46:10.537722+00:00,sim128[24094]:,disconnect,5,187.156.87.99,JAOO450
2012-05-26T19:46:17.050413+00:00,sim128[24094]:,connect,6,94.21.98.81,envagyok
2012-05-26T20:19:53.935363+00:00,sim128[24094]:,connect,4,200.207.100.230,Mybow
2012-05-26T20:25:02.966668+00:00,sim128[24094]:,connect,7,87.151.234.171,Client#5
2012-05-26T20:25:03.023514+00:00,sim128[24094]:,disconnect,6,94.21.98.81,envagyok
2012-05-26T20:25:52.456398+00:00,sim128[24094]:,disconnect,7,87.151.234.171,Client#5
2012-05-26T20:26:12.568678+00:00,sim128[24094]:,connect,5,87.151.234.171,Client#5
2012-05-26T20:32:55.658056+00:00,sim128[24094]:,disconnect,5,87.151.234.171,Client#5
2012-05-26T21:09:34.952246+00:00,sim128[24094]:,connect,5,125.192.6.142,Client#5
2012-05-26T21:19:28.402428+00:00,sim128[24094]:,disconnect,4,200.207.100.230,Mybow
2012-05-26T21:19:28.402454+00:00,sim128[24094]:,disconnect,5,125.192.6.142,Client#5
2012-05-26T21:19:34.594715+00:00,sim128[24094]:,connect,6,87.151.234.171,Client#5
2012-05-26T21:26:06.925260+00:00,sim128[24094]:,disconnect,6,87.151.234.171,Client#5
2012-05-26T22:32:57.409912+00:00,sim128[24094]:,connect,4,187.156.87.99,JAOO450
